KO RN CPD CKO
ko:K05585 rn:R11945 C00390;C00399 CKO25
ko:K05586 rn:R11945 C00390;C00399 CKO25
ko:K05587 rn:R11945 C00390;C00399 CKO25
ko:K05588 rn:R11945 C00390;C00399 CKO25
ko:K13378 rn:R11945 C00390;C00399 CKO25
ko:K13380 rn:R11945 C00390;C00399 CKO25
ko:K15863 rn:R11945 C00390;C00399 CKO25
ko:K00425 rn:R11325 C00390;C00399 CKO25
ko:K00426 rn:R11325 C00390;C00399 CKO25
ko:K02297 rn:R11335 C00390;C00399 CKO25
ko:K02298 rn:R11335 C00390;C00399 CKO25
ko:K10944 rn:R00148 C00390;C00399 CKO25
ko:K10945 rn:R00148 C00390;C00399 CKO25
ko:K10946 rn:R00148 C00390;C00399 CKO25
ko:K17893 rn:R09504 C00390;C00399 CKO25
ko:K21673 rn:R07980 C00390;C00399 CKO25
ko:K21674 rn:R07980 C00390;C00399 CKO25
ko:K21675 rn:R07980 C00390;C00399 CKO25
ko:K22473 rn:R09479 C00390;C00399 CKO25
ko:K22474 rn:R09479 C00390;C00399 CKO25
ko:K00125 rn:R10797 C00876;C01080 CKO26
ko:K22516 rn:R10797 C00876;C01080 CKO26
ko:K00440 rn:R03025 C00876;C01080 CKO26
ko:K00441 rn:R03025 C00876;C01080 CKO26
ko:K00442 rn:R03025 C00876;C01080 CKO26
ko:K00443 rn:R03025 C00876;C01080 CKO26
ko:K00125 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K14127 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K22516 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22480 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22481 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22482 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14126 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14127 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14128 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K08264 rn:R04540 C03576;C04628;C04832;C04832 CKO27
ko:K08265 rn:R04540 C03576;C04628;C04832;C04832 CKO27
ko:K18209 rn:R10660 C03576;C04628;C04832;C04832 CKO27
ko:K18210 rn:R10660 C03576;C04628;C04832;C04832 CKO27
ko:K00128 rn:R05237 C06613;C06614 CKO28
ko:K00128 rn:R05238 C06615;C16348 CKO29
ko:K00128 rn:R08146 C03461;C16502 CKO30
ko:K00137 rn:R12215 C00431;C12455 CKO31
ko:K00143 rn:R03098 C00956;C05560 CKO32
ko:K00143 rn:R04863 C05535;C11482 CKO33
ko:K00143 rn:R11679 C00956;C04076 CKO34
ko:K00157 rn:R01709 C00250;C00847 CKO35
ko:K00157 rn:R02125 C00376;C00777 CKO36
ko:K00157 rn:R02657 C00628;C05585 CKO37
ko:K00157 rn:R03871 C02170;C06002 CKO38
ko:K00157 rn:R04085 C02918;C05843 CKO39
ko:K00157 rn:R04904 C05634;C05635 CKO40
ko:K00157 rn:R08349 C16610;C16612 CKO41
ko:K00157 rn:R08384 C15493;C16681 CKO42
ko:K00157 rn:R08408 C02918;C05842 CKO43
ko:K00158 rn:R00207 C00227 CKO44
ko:K00161 rn:R00014 C00068;C05125 CKO45
ko:K00162 rn:R00014 C00068;C05125 CKO45
ko:K00163 rn:R00014 C00068;C05125 CKO45
ko:K01568 rn:R00014 C00068;C05125 CKO45
ko:K01652 rn:R00014 C00068;C05125 CKO45
ko:K01653 rn:R00014 C00068;C05125 CKO45
ko:K11258 rn:R00014 C00068;C05125 CKO45
ko:K00161 rn:R03270 C00068;C05125 CKO45
ko:K00162 rn:R03270 C00068;C05125 CKO45
ko:K00163 rn:R03270 C00068;C05125 CKO45
ko:K01568 rn:R00755 C00068;C05125 CKO45
ko:K01652 rn:R03050 C00068;C05125 CKO45
ko:K01653 rn:R03050 C00068;C05125 CKO45
ko:K01652 rn:R04672 C00068;C05125 CKO45
ko:K01653 rn:R04672 C00068;C05125 CKO45
ko:K11258 rn:R04672 C00068;C05125 CKO45
ko:K01652 rn:R04673 C00068;C05125 CKO45
ko:K01653 rn:R04673 C00068;C05125 CKO45
ko:K11258 rn:R04673 C00068;C05125 CKO45
ko:K00161 rn:R01699 C15972;C16255 CKO46
ko:K00162 rn:R01699 C15972;C16255 CKO46
ko:K00163 rn:R01699 C15972;C16255 CKO46
ko:K00164 rn:R00621 C00068;C05381 CKO47
ko:K00164 rn:R03316 C00068;C05381 CKO47
ko:K00164 rn:R01940 C06157;C15972 CKO48
ko:K00166 rn:R01701 C15972;C15977 CKO49
ko:K00167 rn:R01701 C15972;C15977 CKO49
ko:K11381 rn:R01701 C15972;C15977 CKO49
ko:K00166 rn:R01702 C15972;C15975 CKO50
ko:K00167 rn:R01702 C15972;C15975 CKO50
ko:K11381 rn:R01702 C15972;C15975 CKO50
ko:K00166 rn:R04225 C15972;C15979 CKO51
ko:K00167 rn:R04225 C15972;C15979 CKO51
ko:K11381 rn:R04225 C15972;C15979 CKO51
ko:K00166 rn:R07599 C00068;C15976 CKO52
ko:K00167 rn:R07599 C00068;C15976 CKO52
ko:K11381 rn:R07599 C00068;C15976 CKO52
ko:K00166 rn:R07600 C00068;C15976 CKO52
ko:K00167 rn:R07600 C00068;C15976 CKO52
ko:K11381 rn:R07600 C00068;C15976 CKO52
ko:K00166 rn:R07601 C00068;C15974 CKO53
ko:K00167 rn:R07601 C00068;C15974 CKO53
ko:K11381 rn:R07601 C00068;C15974 CKO53
ko:K00166 rn:R07602 C00068;C15974 CKO53
ko:K00167 rn:R07602 C00068;C15974 CKO53
ko:K11381 rn:R07602 C00068;C15974 CKO53
ko:K00166 rn:R07603 C00068;C15978 CKO54
ko:K00167 rn:R07603 C00068;C15978 CKO54
ko:K11381 rn:R07603 C00068;C15978 CKO54
ko:K00166 rn:R07604 C00068;C15978 CKO54
ko:K00167 rn:R07604 C00068;C15978 CKO54
ko:K11381 rn:R07604 C00068;C15978 CKO54
ko:K00166 rn:R10996 C00068;C21017 CKO55
ko:K00167 rn:R10996 C00068;C21017 CKO55
ko:K11381 rn:R10996 C00068;C21017 CKO55
ko:K00166 rn:R10997 C00068;C21017 CKO55
ko:K00167 rn:R10997 C00068;C21017 CKO55
ko:K11381 rn:R10997 C00068;C21017 CKO55
ko:K00169 rn:R08034 C16396;C16399 CKO56
